english_file	defect	status
chapters/contact_tracing.qmd	` nrow(followups)` is inline code, not an inline R expression, so the page prints the literal text; es mirrors it.	fixed in 7f183974
chapters/data_table.qmd	Prose says the example drops gender, wt_kg and ht_cm; the chunk drops age too; pt mirrors it.	fixed in 7f183974
chapters/ggplot_basics.qmd	Prose says fill = outcome; the chunk beside it uses fill = gender; fr mirrors it.	fixed in 7f183974
chapters/directories.qmd	[Interactive console] is a bracketed reference with no target; fr mirrors it.	fixed in 7f183974
chapters/combination_analysis.qmd	Prose says the frequency bars are on the right; UpSetR draws them bottom-left; jp mirrors it. Prose also says case_when() where the chunk uses ifelse(); tr mirrors it.	fixed in 7f183974
chapters/help.qmd	[documentation]() has an empty link target; es mirrors it.	fixed in 7f183974
chapters/grouping.qmd	Prose says by = "months"; the reviewer reports the chunk uses by = "month"; tr mirrors it.	fixed in 7f183974
chapters/tables_presentation.qmd	Prose says columns 4 to 8; the chunk uses j = c(4,5,7,8); tr mirrors it.	fixed in 7f183974
chapters/dates.qmd	The strptime code list gives %m for minutes; %M is correct, and pt and vn say %M; fix-pass agents rejected the findings against pt and vn.	fixed in 7f183974
chapters/survey_analysis.qmd	The prose introducing the chunk names only find_start_date() while the chunk calls find_end_date() too; jp mirrors it after the fix pass.	fixed in 7f183974
chapters/flexdashboard.qmd	The inline-R example is written `` ` 1+1` `` with a space so that knitr does not evaluate it, which hides the syntax it teaches; fr now mirrors it.	fixed in 7f183974
chapters/grouping.qmd	Two sentences on add_count() versus count() state dplyr behaviour inverted; fr says it correctly and stays.	fixed in 7f183974
chapters/grouping.qmd	Prose says "median delay" where the chunk computes mean(days_onset_hosp); jp says mean and stays.	fixed in 7f183974
chapters/joining_matching.qmd	Prose says the joined columns appear "on the left side"; left_join() appends them on the right; jp says right and stays.	fixed in 7f183974
chapters/cleaning.qmd	eval=F chunk 45: linelist$bmi line carries an extra closing parenthesis; does not parse. fr and jp now mirror it.	fixed in 7f183974
chapters/dates.qmd	eval=FALSE chunk 21: the call is left unclosed; does not parse. pt and ru now mirror it.	fixed in 7f183974
chapters/epicurves.qmd	eval=F chunks 20 and 28: scale_x_date() fragments left unclosed; do not parse. fr, jp, vn now mirror them.	fixed in 7f183974
