chapter	lang	en_segment_id	tr_segment_id	relation	confidence	reviewed
age_pyramid	es	S1.P1	S1.P1	1-1	high	TRUE
age_pyramid	es	S3.P1	S3.P1	1-1	high	TRUE
age_pyramid	es	S4.P1	S4.P1	1-1	high	TRUE
age_pyramid	es	S4.P2	S4.P2	1-1	high	TRUE
age_pyramid	es	S5.P1	S5.P1	1-1	high	TRUE
age_pyramid	es	S5.P2	S5.P2	1-1	high	TRUE
age_pyramid	es	S6.P1	S6.P1	1-1	high	TRUE
age_pyramid	es	S7.P1	S7.P1	1-1	high	TRUE
age_pyramid	es	S7.P2	S7.P2	1-1	high	TRUE
age_pyramid	es	S7.P3	S7.P3	1-1	high	TRUE
age_pyramid	es	S8.P1	S8.P1	1-1	high	TRUE
age_pyramid	es	S9.P1	S9.P1	1-1	high	TRUE
age_pyramid	es	S10.P1	S10.P1	1-1	high	TRUE
age_pyramid	es	S10.P2	S10.P2	1-1	high	TRUE
age_pyramid	es	S10.P3	S10.P3	1-1	high	TRUE
age_pyramid	es	S10.P4	S10.P4	1-1	high	TRUE
age_pyramid	es	S10.P5	S10.P5	1-1	high	TRUE
age_pyramid	es	S11.P1	S11.P1	1-1	high	TRUE
age_pyramid	es	S12.P1	S12.P1	1-1	high	TRUE
age_pyramid	es	S12.P2	S12.P2	1-1	high	TRUE
age_pyramid	es	S13.P1	S13.P1	1-1	high	TRUE
age_pyramid	es	S13.P2	S13.P2	1-1	high	TRUE
age_pyramid	es	S13.P3	S13.P3	1-1	high	TRUE
age_pyramid	es	S13.P4	S13.P4	1-1	high	TRUE
age_pyramid	es	S14.P1	S14.P1	1-1	high	TRUE
age_pyramid	es	S14.P2	S14.P2	1-1	high	TRUE
age_pyramid	es	S14.P3	S14.P3	1-1	high	TRUE
age_pyramid	es	S14.P4	S14.P4	1-1	high	TRUE
age_pyramid	es	S14.P5	S14.P5	1-1	high	TRUE
age_pyramid	es	S14.P6	S14.P6	1-1	high	TRUE
age_pyramid	es	S14.P7	S14.P7	1-1	high	TRUE
age_pyramid	es	S14.P8	S14.P8	1-1	high	TRUE
age_pyramid	es	S14.P9	S14.P9	1-1	high	TRUE
age_pyramid	es	S15.P1	S15.P1	1-1	high	TRUE
age_pyramid	es	S15.P2	S15.P2	1-1	high	TRUE
age_pyramid	es	S15.P3	S15.P3	1-1	high	TRUE
age_pyramid	es	S15.P4	S15.P4	1-1	high	TRUE
age_pyramid	es	S15.P5	S15.P5	1-1	high	TRUE
age_pyramid	es	S16.P1	S16.P1	1-1	high	TRUE
age_pyramid	fr	S0.P1	S0.P1	1-1	high	TRUE
age_pyramid	fr	S2.P1	S2.P1	1-1	high	TRUE
age_pyramid	fr	S3.P1	S3.P1	1-1	high	TRUE
age_pyramid	fr	S3.P2	S3.P2	1-1	high	TRUE
age_pyramid	fr	S4.P1	S4.P1	1-1	high	TRUE
age_pyramid	fr	S4.P2	S4.P2	1-1	high	TRUE
age_pyramid	fr	S5.P1	S5.P1	1-1	high	TRUE
age_pyramid	fr	S6.P1	S6.P1	1-1	high	TRUE
age_pyramid	fr	S6.P2	S6.P2	1-1	high	TRUE
age_pyramid	fr	S6.P3	S6.P3	1-1	high	TRUE
