batch	lang	kind	n	files	ids
es.untrue.01	es	untrue	18	chapters/basics.es.qmd,chapters/cleaning.es.qmd,chapters/collaboration.es.qmd,chapters/dates.es.qmd,chapters/diagrams.es.qmd	basics.es#1,basics.es#2,basics.es#5,basics.es#6,basics.es#7,cleaning.es#2,cleaning.es#5,collaboration.es#8,collaboration.es#9,collaboration.es#12,dates.es#1,dates.es#3,dates.es#4,dates.es#5,dates.es#6,dates.es#7,diagrams.es#1,diagrams.es#2
es.untrue.02	es	untrue	18	chapters/editorial_style.es.qmd,chapters/errors.es.qmd,chapters/flexdashboard.es.qmd,chapters/ggplot_basics.es.qmd,chapters/ggplot_tips.es.qmd,chapters/grouping.es.qmd,chapters/help.es.qmd,chapters/importing.es.qmd,chapters/interactive_plots.es.qmd,chapters/iteration.es.qmd	editorial_style.es#3,editorial_style.es#4,errors.es#1,flexdashboard.es#1,flexdashboard.es#2,flexdashboard.es#3,ggplot_basics.es#1,ggplot_basics.es#3,ggplot_basics.es#4,ggplot_tips.es#1,grouping.es#2,grouping.es#3,help.es#2,importing.es#5,interactive_plots.es#1,interactive_plots.es#2,iteration.es#6,iteration.es#10
es.untrue.03	es	untrue	18	chapters/iteration.es.qmd,chapters/joining_matching.es.qmd,chapters/moving_average.es.qmd,chapters/network_drives.es.qmd,chapters/phylogenetic_trees.es.qmd,chapters/r_projects.es.qmd,chapters/reportfactory.es.qmd,chapters/rmarkdown.es.qmd,chapters/shiny_basics.es.qmd,chapters/stat_tests.es.qmd,chapters/survey_analysis.es.qmd,chapters/survival_analysis.es.qmd	iteration.es#12,joining_matching.es#5,moving_average.es#1,network_drives.es#1,phylogenetic_trees.es#1,phylogenetic_trees.es#2,phylogenetic_trees.es#3,r_projects.es#2,r_projects.es#3,reportfactory.es#3,rmarkdown.es#1,rmarkdown.es#7,shiny_basics.es#1,shiny_basics.es#2,stat_tests.es#1,survey_analysis.es#1,survival_analysis.es#1,survival_analysis.es#2
es.untrue.04	es	untrue	15	chapters/survival_analysis.es.qmd,chapters/tables_descriptive.es.qmd,chapters/time_series.es.qmd,chapters/transition_to_r.es.qmd,chapters/transmission_chains.es.qmd,chapters/writing_functions.es.qmd	survival_analysis.es#3,tables_descriptive.es#1,tables_descriptive.es#3,tables_descriptive.es#4,time_series.es#2,time_series.es#3,time_series.es#4,time_series.es#5,time_series.es#6,time_series.es#7,transition_to_r.es#1,transition_to_r.es#2,transition_to_r.es#3,transmission_chains.es#1,writing_functions.es#1
es.missing.01	es	missing	17	chapters/age_pyramid.es.qmd,chapters/cleaning.es.qmd,chapters/collaboration.es.qmd,chapters/contact_tracing.es.qmd,chapters/data_table.es.qmd,chapters/data_used.es.qmd	age_pyramid.es#2,cleaning.es#1,cleaning.es#3,collaboration.es#1,collaboration.es#2,collaboration.es#3,collaboration.es#4,collaboration.es#5,collaboration.es#6,collaboration.es#10,collaboration.es#11,contact_tracing.es#1,data_table.es#1,data_used.es#1,data_used.es#2,data_used.es#3,data_used.es#5
es.missing.02	es	missing	17	chapters/data_used.es.qmd,chapters/directories.es.qmd,chapters/editorial_style.es.qmd,chapters/epicurves.es.qmd,chapters/factors.es.qmd,chapters/flexdashboard.es.qmd,chapters/ggplot_tips.es.qmd,chapters/heatmaps.es.qmd,chapters/help.es.qmd	data_used.es#6,directories.es#1,editorial_style.es#1,editorial_style.es#2,epicurves.es#2,epicurves.es#4,epicurves.es#5,epicurves.es#6,factors.es#3,factors.es#4,factors.es#5,flexdashboard.es#5,flexdashboard.es#6,ggplot_tips.es#2,heatmaps.es#1,heatmaps.es#2,help.es#1
es.missing.03	es	missing	16	chapters/importing.es.qmd,chapters/interactive_plots.es.qmd,chapters/joining_matching.es.qmd,chapters/missing_data.es.qmd,chapters/r_projects.es.qmd,chapters/reportfactory.es.qmd,chapters/stat_tests.es.qmd,chapters/tables_descriptive.es.qmd,chapters/transition_to_r.es.qmd,chapters/writing_functions.es.qmd	importing.es#1,importing.es#3,interactive_plots.es#3,joining_matching.es#1,joining_matching.es#2,joining_matching.es#4,missing_data.es#1,missing_data.es#3,r_projects.es#1,reportfactory.es#1,reportfactory.es#2,stat_tests.es#2,tables_descriptive.es#2,tables_descriptive.es#5,transition_to_r.es#4,writing_functions.es#3
es.code_mismatch.01	es	code_mismatch	18	chapters/age_pyramid.es.qmd,chapters/basics.es.qmd,chapters/characters_strings.es.qmd,chapters/cleaning.es.qmd,chapters/dates.es.qmd,chapters/deduplication.es.qmd,chapters/factors.es.qmd,chapters/ggplot_basics.es.qmd,chapters/importing.es.qmd,chapters/iteration.es.qmd	age_pyramid.es#1,basics.es#3,basics.es#4,characters_strings.es#2,characters_strings.es#3,characters_strings.es#4,cleaning.es#4,dates.es#2,deduplication.es#1,deduplication.es#2,factors.es#6,factors.es#7,ggplot_basics.es#2,importing.es#2,importing.es#4,iteration.es#2,iteration.es#3,iteration.es#4
es.code_mismatch.02	es	code_mismatch	17	chapters/iteration.es.qmd,chapters/joining_matching.es.qmd,chapters/pivoting.es.qmd,chapters/regression.es.qmd,chapters/rmarkdown.es.qmd,chapters/standardization.es.qmd,chapters/survival_analysis.es.qmd,chapters/tables_presentation.es.qmd,chapters/time_series.es.qmd,chapters/writing_functions.es.qmd	iteration.es#5,iteration.es#7,iteration.es#8,iteration.es#9,iteration.es#11,joining_matching.es#3,pivoting.es#1,regression.es#1,rmarkdown.es#2,rmarkdown.es#4,rmarkdown.es#5,rmarkdown.es#6,standardization.es#1,survival_analysis.es#4,tables_presentation.es#1,time_series.es#1,writing_functions.es#2
es.added.01	es	added	20	chapters/basics.es.qmd,chapters/characters_strings.es.qmd,chapters/collaboration.es.qmd,chapters/data_used.es.qmd,chapters/epicurves.es.qmd,chapters/factors.es.qmd,chapters/flexdashboard.es.qmd,chapters/ggplot_basics.es.qmd,chapters/missing_data.es.qmd,chapters/phylogenetic_trees.es.qmd,chapters/rmarkdown.es.qmd,chapters/standardization.es.qmd,chapters/survival_analysis.es.qmd,chapters/time_series.es.qmd	basics.es#8,basics.es#9,basics.es#10,characters_strings.es#1,collaboration.es#7,data_used.es#4,epicurves.es#1,epicurves.es#3,epicurves.es#7,factors.es#1,factors.es#2,flexdashboard.es#4,ggplot_basics.es#5,ggplot_basics.es#6,missing_data.es#2,phylogenetic_trees.es#4,rmarkdown.es#3,standardization.es#2,survival_analysis.es#5,time_series.es#8
