chapter	lang	heading	segment_index	kind	en_span	tr_span	proposition	reader_consequence	confidence
age_pyramid	es	Linelist data / Datos individualizados	S7.P1	code_mismatch	chapters/age_pyramid.qmd:106-106	chapters/age_pyramid.es.qmd:99-99	The Spanish bullet names the column as code-formatted `age` for the `age_group = ` argument, while the English says only "the name of the categorical age column" and the chunk beside it passes `age_group = "age_cat5"`.	A Spanish reader takes `age` to be the column to pass and writes `age_group = "age"`; `age` is the numeric age column in linelist, not a categorical one, so `age_pyramid()` produces an unusable pyramid with one band per distinct age or errors, instead of the 5-year bands the chunk shows.	high
age_pyramid	es	Load packages / Cargar paquetes	S3.P1	missing	chapters/age_pyramid.qmd:35-35	chapters/age_pyramid.es.qmd:29-29	The English states that `library()` comes from base R; the Spanish drops the package name and leaves "con `library()` de **.**".	A Spanish reader is not told where `library()` comes from, so the contrast the sentence is making (pacman's `p_load()` versus base R's `library()`) is lost, and the empty bold "**.**" reads as a missing package name they may go looking for.	medium
age_pyramid	fr	Compare to baseline / Comparer à une référence	S13.P9	code_mismatch	chapters/age_pyramid.qmd:494-497	chapters/age_pyramid.fr.qmd:468-471	The French text calls the case-data layer of the baseline-comparison plot a histogram ("Un histogramme des données de cas"), while the English calls it a bar graph and the chunk that follows draws both layers with geom_col().	A French reader expects geom_histogram() for the case layer and may look for a numeric age variable or a binning argument; the chunk at chapters/age_pyramid.fr.qmd:473-541 uses geom_col() on the categorical age_cat5 column for both layers, so the described geometry does not exist in the code.	high
age_pyramid	fr	Likert scale / Échelle de Likert	S14.P3	code_mismatch	chapters/age_pyramid.qmd:615-615	chapters/age_pyramid.fr.qmd:588-588	The French text names the respondent-classification column as `statut`, but the code chunks were not translated and use the column name `status`.	A French reader looking for a column called `statut` in likert_data finds none; every downstream chunk (fct_relevel(status, ...), count(status, Question), aes(x = status)) refers to `status`, so the prose and the runnable code disagree on the identifier.	medium
age_pyramid	jp	#### Proportions, colors, & aesthetics / 割合、色、見た目	S9.P1	untrue	chapters/age_pyramid.qmd:147-147	chapters/age_pyramid.jp.qmd:147-147	The translation states that the default dashed line inside each age group shows the median (中央値); the English says only that a dashed mid-point line is shown for each group, and the argument that controls it is show_midpoint, which marks a bar midpoint, not a statistical median.	A Japanese reader takes the dashed line to be the median of the age distribution in each group and may read, report or reproduce it as a statistical summary of the data rather than a plot-geometry midpoint marker.	medium
age_pyramid	jp	### Compare to baseline / ベースラインとの比較	S14.P10	missing	chapters/age_pyramid.qmd:486-486	chapters/age_pyramid.jp.qmd:486-486	The English gives the reason for storing the maximum and minimum percent values: so that no bar is cut short. The translation states only that the values define the extent of the plot.	The reader loses the link back to the red DANGER warning at line 293 about bars disappearing or being truncated when axis limits are too small, so they may skip computing limits from the data when adapting the code to their own dataset.	medium
age_pyramid	jp	### Constructing the plot / プロットの作成	S13.P2	untrue	chapters/age_pyramid.qmd:297-297	chapters/age_pyramid.jp.qmd:297-297	The translation points the reader to the warning ABOVE (前述の警告); the English text says the errors are discussed in the warning BELOW.	The two files disagree on where the warning sits, so a reader comparing versions, or an editor syncing them, cannot tell which direction is authoritative; the English direction is in fact wrong, since the warning is at line 293, above this list.	low
age_pyramid	jp	### Compare to baseline / ベースラインとの比較	S14.P5	untrue	chapters/age_pyramid.qmd:425-425	chapters/age_pyramid.jp.qmd:425-425	The translation describes the fourth shared column as the proportion of CASES out of the total (全体に対する発症数の割合); the English says 'percent of total', which in pop_data is percent of the population, not of cases.	A reader may believe the percent column of pop_data holds a case proportion, and so misread the wide grey baseline bars in the final plot as case percentages rather than population percentages.	low
age_pyramid	jp	### Linelist data / ラインリストのデータ	S7.P3	added	chapters/age_pyramid.qmd:126-126	chapters/age_pyramid.jp.qmd:126-126	The translation adds a parenthetical definition of a facet: 'a subset extracted for the factor value of interest' (注目する因子型の値を部分集合として抽出したもの). The English defines nothing here.	The Japanese reader is given a definition the handbook does not otherwise commit to at this point, so the term is anchored to wording that may not match how facet is defined in other Japanese chapters.	low
age_pyramid	pt	Constructing the plot / Construindo o gráfico	S13.P2	untrue	chapters/age_pyramid.qmd:293-293	chapters/age_pyramid.pt.qmd:290-290	English tells the reader to PREVENT bars from disappearing BY MAKING the count-axis limits auto-adjust to the data ('Prevent it by having your count-axis limits auto-adjust to your data'); the Portuguese says the opposite, 'Evite que os limites do eixo de contagem se ajustem automaticamente aos seus dados' = prevent the count-axis limits FROM auto-adjusting to your data.	The Portuguese reader is told to avoid the exact remedy the English recommends, so they keep hard-coded axis limits. On routinely updated data a bar that exceeds the fixed limit then vanishes or is silently truncated, which is the failure the DANGER box exists to prevent.	high
