handbook_path	aed_name	disposition	evidence	notes
data/africa_countries.geo.json	gis_africa_countries	in_package	blobsha	
data/cache/epidemic_models/2015-04-30/estimate_samples.rds	epidemic_models_estimate_samples	in_package	blobsha	
data/cache/epidemic_models/2015-04-30/estimated_reported_cases_samples.rds	epidemic_models_estimated_reported_cases_samples	in_package	blobsha	
data/cache/epidemic_models/2015-04-30/latest_date.rds	epidemic_models_latest_date	in_package	blobsha	
data/cache/epidemic_models/2015-04-30/reported_cases.rds	epidemic_models_reported_cases	in_package	blobsha	
data/cache/epidemic_models/2015-04-30/summarised_estimated_reported_cases.rds	epidemic_models_summarised_estimated_reported_cases	in_package	blobsha	
data/cache/epidemic_models/2015-04-30/summarised_estimates.rds	epidemic_models_summarised_estimates	in_package	blobsha	
data/cache/epidemic_models/2015-04-30/summary.rds	epidemic_models_summary	in_package	blobsha	
data/cache/epidemic_models/epinow_res.rds	epidemic_models_epinow_res	in_package	blobsha	also byte-identical to aed dataset 'epinow_res' (inst/extdata/epinow_res.rds); picked epidemic_models_epinow_res for directory-context match (data/cache/epidemic_models/)
data/cache/epidemic_models/epinow_res_small.rds	epidemic_models_epinow_res_small	in_package	blobsha	alt candidate: epinow_res_small (same content, different registered name); picked dir-context match
data/cache/epidemic_models/generation_time.rds	epidemic_models_generation_time	in_package	blobsha	alt candidate: generation_time (same content, different registered name); picked dir-context match
data/cache/epidemic_models/incubation_period.rds	epidemic_models_incubation_period	in_package	blobsha	alt candidate: incubation_period (same content, different registered name); picked dir-context match
data/case_linelists/cleaning_dict.csv	case_linelists_cleaning_dict	in_package	blobsha	alt candidate: cleaning_dict (same content); picked dir-context match (data/case_linelists/)
data/case_linelists/fluH7N9_China_2013.csv	fluH7N9_China_2013	in_package	blobsha	alt candidate: example_fluH7N9_China_2013 (same content); neither name literally matches 'case_linelists' dir, picked bare/simple name
data/case_linelists/linelist_cleaned.rds	linelist_cleaned_rds	in_package	blobsha	byte-identical ONLY to inst/extdata/linelist_cleaned_rds.rds (sha 3520fda8...); NOT to inst/extdata/case_linelists_linelist_cleaned.rds (sha ae927699..., same size range but different content) nor to data/*.rda 'linelist_cleaned' which is sourced from xlsx per tableoftables.xlsx
data/case_linelists/linelist_cleaned.xlsx	linelist_cleaned_excel	in_package	blobsha	single unambiguous match (inst/extdata/linelist_cleaned_excel.xlsx)
data/case_linelists/linelist_raw.xlsx	case_linelists_linelist_raw	in_package	blobsha	alt candidates: linelist_raw, example_case_linelist_2020_10_08 (all same content); picked dir-context match (data/case_linelists/)
data/country_demographics.csv	country_demographics	in_package	blobsha	
data/covid_example_data/covid_example_data.xlsx		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.cpg		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.dbf		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.prj		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.sbn		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.sbx		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.shp		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.shp.xml		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_example_data/covid_shapefile/FultonCountyZipCodes.shx		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/covid_incidence.csv	gis_covid_incidence	in_package	blobsha	
data/covid_incidence_map.R		keep	notdata	
data/district_count_data.xlsx	district_weekly_count_data	in_package	blobsha	alt candidate: example_district_weekly_count_data (same content); picked because handbook path has no 'example' segment
data/example/Central Hospital.csv	example_central_hospital	in_package	blobsha	
data/example/Military Hospital.csv	example_military_hospital	in_package	blobsha	
data/example/Missing.csv	example_missing	in_package	blobsha	extdata source file is inst/extdata/example_Missing.csv (capital M); canonical dataset name in tableoftables.xlsx is lowercase 'example_missing'
data/example/Other.csv	example_other	in_package	blobsha	extdata source file is inst/extdata/example_Other.csv (capital O); canonical dataset name in tableoftables.xlsx is lowercase 'example_other'
data/example/Port Hospital.csv	example_port_hospital	in_package	blobsha	
data/example/St. Mark's Maternity Hospital (SMMH).csv	example_st_marks_maternity_hospital	in_package	blobsha	
data/example/district_weekly_count_data.xlsx	example_district_weekly_count_data	in_package	blobsha	alt candidate: district_weekly_count_data (same content); picked dir-context match (data/example/)
data/example/fluH7N9_China_2013.csv	example_fluH7N9_China_2013	in_package	blobsha	alt candidate: fluH7N9_China_2013 (same content); picked dir-context match (data/example/)
data/example/hospital_linelists.xlsx	example_hospital_linelists	in_package	blobsha	alt candidate: hospital_linelists (same content); picked dir-context match (data/example/)
data/example/linelists/20201007linelist.csv		keep	referenced	0-byte placeholder file; directory data/example/linelists/ is referenced in chapters/importing.qmd (dir()/dir_info() calls demonstrating 'import the most recent file' pattern); no aed counterpart, kept as-is since referenced
data/example/linelists/case_linelist20201006.csv		keep	referenced	0-byte placeholder file; directory data/example/linelists/ is referenced in chapters/importing.qmd (dir()/dir_info() calls demonstrating 'import the most recent file' pattern); no aed counterpart, kept as-is since referenced
data/example/linelists/case_linelist_2020-10-02.csv		keep	referenced	0-byte placeholder file; directory data/example/linelists/ is referenced in chapters/importing.qmd (dir()/dir_info() calls demonstrating 'import the most recent file' pattern); no aed counterpart, kept as-is since referenced
data/example/linelists/case_linelist_2020-10-03.csv		keep	referenced	0-byte placeholder file; directory data/example/linelists/ is referenced in chapters/importing.qmd (dir()/dir_info() calls demonstrating 'import the most recent file' pattern); no aed counterpart, kept as-is since referenced
data/example/linelists/case_linelist_2020-10-04.csv		keep	referenced	0-byte placeholder file; directory data/example/linelists/ is referenced in chapters/importing.qmd (dir()/dir_info() calls demonstrating 'import the most recent file' pattern); no aed counterpart, kept as-is since referenced
data/example/linelists/case_linelist_2020-10-05.csv		keep	referenced	0-byte placeholder file; directory data/example/linelists/ is referenced in chapters/importing.qmd (dir()/dir_info() calls demonstrating 'import the most recent file' pattern); no aed counterpart, kept as-is since referenced
data/example/linelists/case_linelist_2020-10-08.xlsx	example_case_linelist_2020_10_08	in_package	blobsha	alt candidates: case_linelists_linelist_raw, linelist_raw (same content); picked closest dir/name-context match (data/example/linelists/)
data/facility_count_data.rds		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/flexdashboard/outbreak_dashboard.Rmd		keep	notdata	
data/flexdashboard/outbreak_dashboard.html		keep	notdata	
data/flexdashboard/outbreak_dashboard_shiny.Rmd		keep	notdata	
data/flexdashboard/outbreak_dashboard_test.Rmd		keep	notdata	
data/flexdashboard/outbreak_dashboard_test.html		keep	notdata	
data/fluH7N9_China_2013.csv	fluH7N9_China_2013	in_package	blobsha	root-level copy, same content as data/case_linelists/fluH7N9_China_2013.csv and data/example/fluH7N9_China_2013.csv; alt candidate: example_fluH7N9_China_2013
data/gis/africa_countries.geo.json	gis_africa_countries	in_package	blobsha	duplicate of data/africa_countries.geo.json, same content
data/gis/covid_incidence.csv	gis_covid_incidence	in_package	blobsha	duplicate of data/covid_incidence.csv, same content
data/gis/covid_incidence_map.R		keep	notdata	
data/gis/linelist_cleaned_with_adm3.rds	gis_linelist_cleaned_with_adm3	in_package	blobsha	alt candidate: linelist_cleaned_with_adm3 (same content); picked dir-context match (data/gis/)
data/gis/population/sle_admpop_adm3_2020.csv	gis_population_sle_admpop_adm3_2020	in_package	blobsha	alt candidate: sle_admpop_adm3_2020 (same content); picked dir-context match (data/gis/population/)
data/gis/population/sle_population_statistics_sierraleone_2020.xlsx	gis_population_sle_population_statistics_sierraleone_2020	in_package	blobsha	
data/gis/shp/README.txt		keep	notdata	
