id	kind	reason
grouping.es#3	untrue	The English itself is inconsistent: its own step 2 and the chunk use mean(), so the Spanish 'demora media' matches the code and changing it to 'mediana' would introduce an error.
grouping.fr#5	missing	The current French line already reads 'Note : les premières lignes ignorent les dates sans cas.', so the English point is present and the evidence span is stale.
importing.fr#5	missing	The current French line already reads 'La feuille peut également être importée en utilisant uniquement l'ID de la feuille, une partie plus courte de l'URL :', so the duplicated sentence in the evidence is stale.
survival_analysis.fr#5	missing	The PMC6322561 entry is present in the French Resources list, on the line immediately after the Survminer entry the finder marked.
basics.jp#7	code_mismatch	The Japanese prose already names rdt_result and other_cases_in_home, exactly the variables the adjacent chunk uses; the mismatch is in the English source.
interactive_plots.jp#1	missing	The Japanese parenthetical 「JavaScript で作られているため、実際にはあらゆるデータサイエンスで用いられている言語」 does carry the any-data-science-language claim, in the same parenthetical position as the English.
age_pyramid.jp#3	untrue	The defect is in the English source, which says "below" although the DANGER warning sits immediately above this list; the Japanese 前述 is correct and changing it would misdirect the reader.
factors.jp#3	untrue	The English sentence is itself inverted (case_when() takes the criteria on the left and returns the right-side value, as its own code chunk shows), so the Japanese is correct and matching the English would introduce the error.
flexdashboard.jp#2	untrue	The English bullet is a source typo: flexdashboard has no {data-navbar=} attribute, and the English page itself uses {data-navmenu=} at line 197, so the Japanese name is the correct one.
survival_analysis.jp#4	untrue	The Japanese is the correct side: the adjacent chunk is data(BMT, package = "SemiCompRisks"), so the English prose naming the survival package is the defective one, and making the Japanese match it would create a prose/code mismatch.
network_drives.pt#3	added	The hedge is no longer in the file: the line now reads 'no painel à direita' with no configuration caveat, so there is nothing to remove.
grouping.pt#3	code_mismatch	The current file already reads `unit = "months"` and `by = "months"`, matching the chunk, so the claimed "meses" defect no longer exists.
tables_descriptive.pt#8	missing	Already corrected in the current file, which reads 'Uma tabela cruzada com uma linha de totais e porcentagens de cada linha', so no difference remains.
dates.pt#4	untrue	Not a defect: %M is R's actual strptime code for minutes, so the Portuguese corrects a typo in the English list, which reuses %m for both month and minutes; changing it would make the Portuguese wrong.
dates.pt#5	untrue	Not a defect: same as dates.pt#4, the Portuguese %M is R's real code for minutes and the English %m = minutes is a source typo.
transition_to_r.pt#8	untrue	The defect is in the English source, which gives the invalid form `[function]?`; the Portuguese `?função` is the correct R syntax and matching the English would introduce a command that does not work.
transition_to_r.pt#9	untrue	Same as transition_to_r.pt#8: the English `[function]?` is the error, and the Portuguese `?função` is the valid R syntax, so the translation is not the defect.
diagrams.ru#5	missing	The preceding Russian sentence already states that most of the page needs no dataset and that only the Sankey section uses it, so the optionality survives; dropping "if you want to follow along" is the systematic paraphrase this translation uses in cleaning.ru.qmd and pivoting.ru.qmd too.
diagrams.ru#1	untrue	The current file already reads `fontcolor` with no gloss and carries `penwidth` (ширина стрелки) on its own next line, so the defect the finder saw at 52442a79 is no longer present.
grouping.ru#3	untrue	The current line already reads 'сначала упорядочены по группированным столбцам, а затем по любым другим столбцам, которые вы укажете в `arrange()`', which matches the English, so the defect seen at 52442a79 is gone.
basics.tr#13	alignment_mismatch	The Turkish file already carries the heading '### Komutla ayarlama {.unnumbered}' immediately before the setwd() paragraph, so no section boundary is missing in the current file.
standardization.tr#1	code_mismatch	The current file already names `appliedepidata::get_data()` and contains no import() mention, so the claimed mismatch no longer exists.
writing_functions.tr#4	missing	The English sentence "It should produce the contrary." is a source-side error asserting the opposite of the caution the finder describes, so translating it would put a false claim into the Turkish.
errors.tr#9	untrue	'tünel' is this translation's established glossary term for pipe, glossed as 'Tünel (pipe) operatörü %>%' in cleaning.tr.qmd and used 84 times across 16 chapters, so it is a translator terminology choice rather than a false claim.
shiny_basics.tr#8	untrue	No defect remains: the bullet already reads **shinyWidgets** and matches the English, so the brightWidgets text is not in the current file.
tables_descriptive.tr#10	untrue	The English prose is the wrong one here: the chunk uses `where(is.numeric)` and the Turkish already says `is.numeric`, so the defect is in the English source.
standardization.vn#2	code_mismatch	The current file already names `appliedepidata::get_data()` in that sentence, so no mismatch with the chunk remains.
dates.vn#7	untrue	The English table is itself wrong and self-contradictory (%m appears twice, as month number and as minutes) while the Vietnamese gives the correct strptime codes %H/%M/%S, so the defect is in the English source, not the translation.
joining_matching.vn#1	untrue	Not a defect in the translation: the shared hosp_info chunk gives the secondary 'military' hospital catchment_pop = 40500, which is what the Vietnamese states, so the 50280 in the English prose is the source error.
writing_functions.vn#5	untrue	The English sentence 'It should produce the contrary' is itself garbled in the source, and the Vietnamese caution is a defensible rendering of it, so no faithful fix exists in the translation.
