id	kind	reason
ggplot_tips.es#3	alignment_mismatch	Confirmed missing: the Spanish now carries both label_date_short() paragraphs but still has no counterpart to the English ```{r, eval=T, warning=F} chunk, and adding a runnable code chunk is not a prose edit.
grouping.es#1	alignment_mismatch	Confirmed: the eval=F import chunk is commented out with a leading '#' on all three fence lines, but restoring it means recreating a code chunk rather than editing prose.
dates.es#2	code_mismatch	Confirmed but the fix belongs inside the code chunk: the chunk passes the invalid token "03 Jany 2018" where the English chunk passes "03 January 2018", and no prose edit can make the printed output match.
regression.es#1	code_mismatch	Correct: line 42 loads a nonexistent package ver instead of see, but that line sits inside the pacman::p_load() code chunk, which this pass may not edit.
standardization.es#1	code_mismatch	Correct as found, but the span no longer exists: the file already reads "Puedes cargar los datos de la página de estandarización directamente en R con las siguientes llamadas a `appliedepidata::get_data()`", so an earlier pass fixed it.
epicurves.es#4	missing	The bullet is genuinely missing, but `closed = "left"` appears in no Spanish code chunk in this chapter, so adding the prose alone would describe something the adjacent chunk does not do; the fix needs the argument added to the geom_histogram() chunks first.
stat_tests.es#1	untrue	Correct finding, but the mistranslated comment sits inside an ```{r} chunk, which this pass may not edit.
survey_analysis.es#1	untrue	Correct finding, but the mislabelled comment sits inside the ```{r survey_props} chunk, which this pass may not edit.
survival_analysis.es#2	untrue	Correct finding (right censored read as correctly censored), but the comment sits inside an ```{r } chunk, which this pass may not edit.
survival_analysis.es#3	untrue	The claim is correct (English says right-censored data, Spanish says 'datos correctamente censurados'), but the text is a comment inside the ```{r survobj } code chunk, which this pass may not edit.
packages_suggested.fr#2	added	The patchwork line is inside the pacman::p_load() code chunk, which this pass MUST NOT edit; it needs re-commenting as in the English chunk.
standardization.fr#2	added	The prose sentence no longer claims a Github repository and already matches the English; the remaining depuis Github wording is in code-chunk comments this pass MUST NOT edit.
diagrams.fr#3	code_mismatch	The defect is the line `couleur = darkgreen` inside the ```{r out.width='50%'} chunk, and this pass may not edit code chunks.
directories.fr#2	code_mismatch	The four `ici("data")` calls sit inside the ```{r, eval=F} chunk, and this pass may not edit code chunks.
flexdashboard.fr#2	code_mismatch	The typo `tite:` sits inside the ```{r, eval=F} chunk, and this pass may not edit code chunks.
flexdashboard.fr#11	code_mismatch	The call `options = liste(...)` sits inside the ```{r, eval=F} chunk, and this pass may not edit code chunks.
iteration.fr#8	code_mismatch	The broken assignment `sheet-names <-`, the wrong workbook name and the missing save_data() call are all inside the ```{r, eval=F} chunk, and this pass may not edit code chunks.
iteration.fr#10	code_mismatch	The French prose already says `estimate` correctly; the defect is map(., "estimation") inside the ```{r} chunk, and this pass may not edit code chunks.
iteration.fr#11	code_mismatch	The object name `combinws` sits inside the ```{r, eval=F} chunk, and this pass may not edit code chunks.
packages_suggested.fr#1	code_mismatch	The trailing comma after treeio sits inside the ```{r, eval=F} chunk, and this pass may not edit code chunks.
survey_analysis.fr#1	code_mismatch	The French prose is a faithful translation of the English; the divergence is in the French code chunk, which replaced the English pacman::p_load_gh("R4EPI/sitrep") call with an if(!require(sitrep)) / remotes::install_github() block, so the fix belongs inside the chunk.
transmission_chains.fr#3	code_mismatch	The prose is correct and matches the English; the defect is the commented-out edge_col_pal line inside the code chunk at line 312, which I may not edit.
transmission_chains.fr#5	code_mismatch	The misspelling hieght = 700 is inside the code chunk at line 373, which I may not edit.
writing_functions.fr#4	code_mismatch	The extra closing parenthesis is inside the code chunk at line 491, which I may not edit.
transmission_chains.fr#6	missing	The text is an R comment inside the ```{r transmission_chains_vis_timeline,} chunk, which this pass may not edit; it needs a code-chunk comment edit.
transmission_chains.fr#7	missing	The text is an R comment inside the ```{r transmission_chains_vis_timeline,} chunk, which this pass may not edit; it needs a code-chunk comment edit.
grouping.fr#1	untrue	The two editions do differ, but the English source is itself wrong (dplyr slice_min() returns the SMALLEST values, which is what the French says), so aligning the French to the English would insert a factual error; the fix belongs in chapters/grouping.qmd, which this batch may not edit.
grouping.fr#2	untrue	Same inverted pair: the English source states slice_max() returns the lowest values, which is wrong, so the correction belongs in chapters/grouping.qmd rather than in the French translation.
phylogenetic_trees.fr#2	untrue	Correct (the comment says node 39 while the argument is node = 37), but the text sits inside the ```{r, phylogenetic_trees_rotating_2} chunk, which this pass may not edit.
deduplication.jp#2	added	The named translator's note (訳注：削除されるのは 4 行目) is no longer in the file; an earlier pass already removed both 訳注 from this paragraph, so no edit is needed.
diagrams.jp#2	added	The named download link and .rds instruction are no longer in the file; the paragraph now reads appliedepidata::get_data(...) with a link to data_used.jp.qmd, so no edit is needed.
diagrams.jp#3	added	The named rio sentence and the #importing cross-reference are no longer in the file; the paragraph was already rewritten to match the English, so no edit is needed.
