old_id	stem	anchor	note
##ggplot_basics_map_loc	ggplot_basics	ggplot_basics_map_loc	doubled hash; the anchor exists
#%20iter_combined	iteration	iter_combined	a space precedes the id in the source
#%20layout	flexdashboard	layout	a space precedes the id in the source
#%20rbasics	basics		a space precedes the id in the source
#De-duplication	deduplication		old bookdown page id
#Descriptive%20tables	tables_descriptive		percent-encoded old bookdown page id
#Fonksiyonlar	basics	functions	Turkish id for the Functions section
#GIS	gis		old bookdown page id
#age-pyramid	age_pyramid		old bookdown page id
#age_pyramid	age_pyramid		old bookdown page id
#alluvialsankey-diagrams	diagrams		section anchor absent from the translations; chapter link
#basic	basics		truncated id; the sentence names R basics
#basics	basics		old bookdown page id
#character_stings	characters_strings		misspelt old bookdown page id
#character_strings	characters_strings		old bookdown page id
#characters-and-strings	characters_strings		old bookdown page id
#characters-strings	characters_strings		old bookdown page id
#characters_strings	characters_strings		old bookdown page id
#clean_across	cleaning	clean_across	section anchor, defined in every language
#clean_case_when	cleaning	clean_case_when	section anchor, defined in every language
#clean_tidyselect	cleaning	clean_tidyselect	section anchor, defined in every language
#cleaning	cleaning		old bookdown page id
#cleaning-data-and-core-functions	cleaning		old bookdown page id
#cleaning-data-and-core-functions.html#num_cats	cleaning	num_cats	page id plus anchor, with the .html suffix
#cleaning_data	cleaning		old bookdown page id
#collaboration	collaboration		old bookdown page id
#combine-plots	ggplot_tips		section anchor absent from the translations; chapter link
#common-errors	errors		old bookdown page id
#contact-tracing	contact_tracing		old bookdown page id
#contact-tracing-1	contact_tracing		duplicate-suffixed old bookdown page id
#contact_tracing	contact_tracing		old bookdown page id
#contact_us	index		the Contribution section of the welcome page
#dashboards	flexdashboard		old bookdown page id
#dashboards-with-r-markdown	flexdashboard		old bookdown page id
#dashboards-with-shiny	shiny_basics		old bookdown page id
#data-table	data_table		old bookdown page id
#data-used	data_used		old bookdown page id
#data_shiny	data_used	data_shiny	section anchor, defined in every language
#data_table	data_table		old bookdown page id
#data_used	data_used		old bookdown page id
#dates	dates		old bookdown page id
#dates_epi_wks	dates	dates_epi_wks	section anchor, defined in every language
#de-duplication	deduplication		old bookdown page id
#decriptive_tables	tables_descriptive		misspelt old bookdown page id
#deduplication	deduplication		old bookdown page id
#demographic-pyramids-and-likert-scales	age_pyramid		old bookdown page id
#descriptive-tables	tables_descriptive		old bookdown page id
#descriptive_tables	tables_descriptive		old bookdown page id
#diagrams	diagrams		old bookdown page id
#directories	directories		old bookdown page id
#directory-interactions	directories		old bookdown page id
#download-handbook-and-data	data_used		old bookdown page id
#download_book_data	data_used		old bookdown page id
#editorial-and-technical-notes	editorial_style		old bookdown page id
#editorial-style	editorial_style		old bookdown page id
#editorial_notes	editorial_style		old bookdown page id
#epicurves	epicurves		old bookdown page id
#epidemic-curves	epicurves		old bookdown page id
#errors	errors		old bookdown page id
#factors	factors		old bookdown page id
#flexdashboard	flexdashboard		old bookdown page id
#getting-help	help		old bookdown page id
#ggplot-basics	ggplot_basics		old bookdown page id
#ggplot-tips	ggplot_tips		old bookdown page id
#ggplot_basics	ggplot_basics		old bookdown page id
#ggplot_basics_mapping	ggplot_basics	ggplot_basics_mapping	section anchor, defined in every language
#ggplot_basics_themes	ggplot_basics	ggplot_basics_themes	section anchor, defined in every language
#ggplot_tips	ggplot_tips		old bookdown page id
#ggplot_tips_colors	ggplot_tips	ggplot_tips_colors	section anchor, defined in every language
#ggplot_tips_scales	ggplot_tips	ggplot_tips_scales	section anchor, defined in every language
#gis	gis		old bookdown page id
#gis-basics	gis		old bookdown page id
#group_summarise	grouping	group_summarise	section anchor, defined in every language
#grouping	grouping		old bookdown page id
#grouping-data	grouping		old bookdown page id
#grouping_data	grouping		old bookdown page id
#heat-plots	heatmaps		old bookdown page id
#heatmap	heatmaps		old bookdown page id
#heatmaps	heatmaps		old bookdown page id
#help	help		old bookdown page id
#highlighting	ggplot_tips		section anchor absent from the translations; chapter link
#import-and-export	importing		old bookdown page id
#import_api	importing	import_api	section anchor, defined in every language
#import_export	importing		old bookdown page id
#import_missing	importing	import_missing	section anchor, defined in every language
#importing	importing		old bookdown page id
#interactive-plots	interactive_plots		old bookdown page id
#interactive_plots	interactive_plots		old bookdown page id
#iteration	iteration		old bookdown page id
#iteration-loops-and-lists	iteration		old bookdown page id
#joining-data	joining_matching		old bookdown page id
#joining-matching	joining_matching		old bookdown page id
#joining_matching	joining_matching		old bookdown page id
#missing-data	missing_data		old bookdown page id
#missing_data	missing_data		old bookdown page id
#moving-average	moving_average		old bookdown page id
#moving-averages	moving_average		old bookdown page id
#moving-averages-1	moving_average		duplicate-suffixed old bookdown page id
#moving_average	moving_average		old bookdown page id
#multi-level-date-labels	epicurves		section anchor absent from the translations; chapter link
#nesneler	basics	objects	Turkish id for the Objects section
#network-drives	network_drives		old bookdown page id
#network_drives	network_drives		old bookdown page id
#objectstructure	basics	objects	Object structure sits inside the Objects section
#objetos	basics	objects	Portuguese id for the Objects section
#organizing-routine-reports	reportfactory		old bookdown page id
#packages-suggested	packages_suggested		old bookdown page id
#paketler	basics	packages	Turkish id for the Packages section
#phylogenetic-trees	phylogenetic_trees		old bookdown page id
#phylogenetic-trees-1	phylogenetic_trees		duplicate-suffixed old bookdown page id
#phylogenetic_trees	phylogenetic_trees		old bookdown page id
#pivot_prep	pivoting	pivot_prep	anchor added 2026-09-08 in all eight languages
#pivoting	pivoting		old bookdown page id
#pivoting-data	pivoting		old bookdown page id
#pivoting_data	pivoting		old bookdown page id
#plot-with-ggplotly	interactive_plots		section anchor absent from the translations; chapter link
#plotting-multiple-datasets	ggplot_tips		section anchor absent from the translations; chapter link
#presentation_tables	tables_presentation		old bookdown page id
#r-basics	basics		old bookdown page id
#r-on-network-drives	network_drives		old bookdown page id
#r-projects	r_projects		old bookdown page id
#r_projects	r_projects		old bookdown page id
#rbasics	basics		old bookdown page id
#reportfactory	reportfactory		old bookdown page id
#reports-with-r-markdown	rmarkdown		old bookdown page id
#rmarkdown	rmarkdown		old bookdown page id
#shiny	shiny_basics		old bookdown page id
#shiny-basics	shiny_basics		old bookdown page id
#shiny-basicss	shiny_basics		misspelt old bookdown page id
#simple-statistical-tests	stat_tests		old bookdown page id
#standardised-rates	standardization		old bookdown page id
#stat-tests	stat_tests		old bookdown page id
#stats_gt	stat_tests	stats_gt	section anchor, defined in every language
#stats_test	stat_tests		old bookdown page id
#str_pad	characters_strings	str_pad	section anchor, defined in every language
#str_rollup	deduplication	str_rollup	section anchor, defined in every language
#suggested-packages-1	packages_suggested		duplicate-suffixed old bookdown page id
#suggested_packages	packages_suggested		old bookdown page id
#survey-analysis	survey_analysis		old bookdown page id
#survival-analysis	survival_analysis		old bookdown page id
#survival_analysis	survival_analysis		old bookdown page id
#tables-descriptive	tables_descriptive		old bookdown page id
#tables-for-presentation	tables_presentation		old bookdown page id
#tables-presentation	tables_presentation		old bookdown page id
#tables_presentation	tables_presentation		old bookdown page id
#tbl_dplyr_totals	tables_descriptive	tbl_dplyr_totals	section anchor, defined in every language
#tbl_gt	tables_descriptive	tbl_gt	section anchor, defined in every language
#tbl_janitor	tables_descriptive	tbl_janitor	section anchor, defined in every language
#time-series	time_series		old bookdown page id
#time-series-and-outbreak-detection	time_series		old bookdown page id
#time_series	time_series		old bookdown page id
#timeseries_moving	time_series	timeseries_moving	section anchor, defined in every language
#transition-to-R	transition_to_r		old bookdown page id
#transition-to-r	transition_to_r		old bookdown page id
#transition_to_r	transition_to_r		old bookdown page id
#transmission-chains	transmission_chains		old bookdown page id
#transmission_chains	transmission_chains		old bookdown page id
#version-control-and-collaboration-with-	collaboration		truncated old bookdown page id
#version-control-and-collaboration-with-git-and-github	collaboration		old bookdown page id
#working-with-dates	dates		old bookdown page id
#working-with-dates-1	dates		duplicate-suffixed old bookdown page id
#working_dates	dates		old bookdown page id
#writing-function	writing_functions		truncated old bookdown page id
#writing-functions	writing_functions		old bookdown page id
#writing-functions-1	writing_functions		duplicate-suffixed old bookdown page id
#writing_functions	writing_functions		old bookdown page id
